世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
安全世界,2022-02-09 01:27,烛天,KU_pvwb-QuV,菌伞灯,启迪之冠碎片,alterguardianhatshard,-1
安全世界,2022-02-09 01:27,烛天,KU_pvwb-QuV,蘑菇灯,启迪之冠碎片,alterguardianhatshard,1
安全世界,2022-02-09 03:24,烏冬udon,KU_EBJviZl7,龙鳞宝箱,木板,boards,2
安全世界,2022-02-09 03:24,烏冬udon,KU_EBJviZl7,龙鳞宝箱,蓝图,blueprint,-1
安全世界,2022-02-09 03:24,烏冬udon,KU_EBJviZl7,龙鳞宝箱,高礼帽,tophat,1
安全世界,2022-02-09 03:27,烏冬udon,KU_EBJviZl7,龙鳞宝箱,高礼帽,tophat,-1
安全世界,2022-02-09 03:27,烏冬udon,KU_EBJviZl7,龙鳞宝箱,木板,boards,-2
安全世界,2022-02-09 03:29,烏冬udon,KU_EBJviZl7,龙鳞宝箱,蓝图,blueprint,1
安全世界,2022-02-09 06:09,烏冬udon,KU_EBJviZl7,蘑菇灯,启迪之冠碎片,alterguardianhatshard,1
安全世界,2022-02-09 06:09,烏冬udon,KU_EBJviZl7,蘑菇灯,启迪之冠碎片,alterguardianhatshard,1
安全世界,2022-02-09 09:10,颂恩,KU_H2AfRqiQ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
安全世界,2022-02-09 09:10,颂恩,KU_H2AfRqiQ,龙鳞宝箱,溯源表,pocketwatch_recall,1
安全世界,2022-02-09 10:10,卖火柴的小女孩,KU_MAFS6VNg,箱子,南瓜,pumpkin,4
安全世界,2022-02-09 10:10,卖火柴的小女孩,KU_MAFS6VNg,箱子,南瓜,pumpkin,-4
安全世界,2022-02-09 10:22,烏冬udon,KU_EBJviZl7,龙鳞宝箱,蓝宝石,bluegem,-25
安全世界,2022-02-09 10:22,烏冬udon,KU_EBJviZl7,龙鳞宝箱,蓝宝石,bluegem,25
安全世界,2022-02-09 10:55,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 10:57,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 10:57,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,-1
安全世界,2022-02-09 10:57,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,-1
安全世界,2022-02-09 10:58,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 10:58,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 10:58,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,-1
安全世界,2022-02-09 10:58,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,-1
安全世界,2022-02-09 11:14,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 11:14,seven,KU_vlDbzM6m,冰箱,暖石,heatrock,-1
安全世界,2022-02-09 11:44,因幡月夜,KU_LI3oFT2m,冰箱,暖石,heatrock,1
安全世界,2022-02-09 11:44,因幡月夜,KU_LI3oFT2m,冰箱,暖石,heatrock,-1
